X Y Z R G B
3.566118602773387658e-01 -1.765319324715098448e+00 -3.262680650693285056e+00 1.040000000000000000e+02 1.280000000000000000e+02 8.600000000000000000e+01
1.692633934915875882e-01 -9.382325616585847072e-01 -4.196209846927002829e+00 1.050000000000000000e+02 1.000000000000000000e+02 5.500000000000000000e+01
3.697813638778296719e-01 -1.102743994760123414e+00 -7.281086853940540671e+00 8.600000000000000000e+01 6.200000000000000000e+01 5.600000000000000000e+01
-3.755123533347466402e-01 -2.841898160561150966e-01 -7.756068329957948926e+00 1.570000000000000000e+02 1.320000000000000000e+02 9.800000000000000000e+01
1.119740036926135801e-01 -5.824054578018714734e-01 -7.284394581614687780e+00 8.800000000000000000e+01 6.500000000000000000e+01 4.000000000000000000e+01
1.914562557482129279e-01 -7.210124508124632348e-01 -4.650621634378620861e+00 1.410000000000000000e+02 1.230000000000000000e+02 6.100000000000000000e+01
1.911443956158959123e-01 -7.367994888419657773e-01 -5.100537060771670461e+00 1.240000000000000000e+02 1.070000000000000000e+02 6.400000000000000000e+01
3.194754967530629708e-01 -1.115264234245005204e+00 -6.335362090485176623e+00 9.700000000000000000e+01 8.200000000000000000e+01 7.700000000000000000e+01
2.004131682274659931e-01 -8.097327585297714458e-01 -6.246309471472598851e+00 8.500000000000000000e+01 6.200000000000000000e+01 3.800000000000000000e+01
2.881672590088255048e-01 -1.251657542986758909e+00 -4.510220192537916617e+00 1.340000000000000000e+02 1.510000000000000000e+02 1.060000000000000000e+02
3.705686666424662934e-01 -1.602730140109412504e+00 -3.633939510580888044e+00 1.120000000000000000e+02 1.230000000000000000e+02 8.400000000000000000e+01
2.971548348306974341e-01 -6.195929358317190383e-01 -7.730000280563379178e+00 1.100000000000000000e+02 9.300000000000000000e+01 9.300000000000000000e+01
3.479310250961402673e-01 -5.833870332127507607e-01 -8.000854437371367922e+00 7.500000000000000000e+01 5.800000000000000000e+01 4.700000000000000000e+01
3.975773891220105161e-01 -1.503238019919785673e+00 -3.146363683066061068e+00 7.000000000000000000e+01 8.900000000000000000e+01 5.500000000000000000e+01
4.371012583984139610e-01 -1.133898888987645348e+00 -7.634511147177437174e+00 5.400000000000000000e+01 3.200000000000000000e+01 3.300000000000000000e+01
1.266567861371400705e-01 -2.037157496063493611e-01 -6.614610792996644228e+00 4.000000000000000000e+01 2.600000000000000000e+01 1.500000000000000000e+01
5.833486504272348411e-02 -2.231274949339604463e-01 -6.853885754253984608e+00 4.500000000000000000e+01 3.100000000000000000e+01 1.700000000000000000e+01
5.921421144245911372e-02 -5.384082785811061811e-01 -7.300677513439463695e+00 1.250000000000000000e+02 9.900000000000000000e+01 6.100000000000000000e+01
