x y z r g b
0.207269 -1.184563 1.419276 113 157 73
1.346359 -2.877273 -0.698768 125 160 81
1.494856 -5.613397 8.800700 153 182 134
0.203372 -1.680157 -0.358434 154 174 104
0.057140 -1.272282 -0.551111 129 161 103
0.611444 -3.634329 7.121682 125 166 50
0.795142 -3.266934 6.821886 122 163 51
0.072702 -1.238909 1.223736 113 158 83
0.259016 -0.739657 -1.679500 161 160 91
1.735872 -4.146377 0.323979 139 176 107
1.336544 -3.191041 6.445912 143 175 64
-0.132273 -1.807412 2.724472 130 172 88
0.006240 -0.685507 -1.708919 147 159 73
-0.343206 -1.222094 0.690812 144 177 44
-0.010372 -1.880404 0.201367 181 207 112
-0.756417 0.775166 5.214186 164 181 132
-0.557708 -0.636459 -0.513920 128 162 104
1.183764 -3.286142 -0.164416 125 160 85
-0.839604 -0.787898 3.154428 147 190 81
-0.511113 -1.439865 1.679820 152 185 79
-1.171366 1.335353 5.079930 154 189 74
0.244661 -3.259807 6.652171 123 161 66
-0.207059 -0.803630 0.474797 130 163 82
0.094735 -1.269725 -1.737710 154 183 116
-0.699791 -0.409489 0.560080 129 159 119
0.012204 -1.464438 0.010750 140 173 88
-2.674245 2.066868 6.866043 127 169 49
-0.044064 -1.057574 -1.199203 124 159 76
-1.992877 3.093498 7.636589 111 160 83
-0.147831 -0.102547 -0.535403 132 171 90
-0.997143 -0.484346 3.732817 153 188 104
1.383107 -4.805057 8.566560 125 167 83
-1.154560 1.353642 1.829252 114 155 66
-0.163469 -1.083693 -0.334187 131 165 39
-0.524037 -0.022001 -0.646277 136 165 103
0.148067 -1.824168 0.214053 146 174 103
0.144655 -1.096773 0.022369 115 157 104
-0.269809 -1.801341 0.966785 165 191 64
3.273999 -5.190960 0.629107 145 173 113
0.375190 -1.370587 2.132775 120 163 71
0.613826 -4.473585 7.669296 125 165 101
-0.567250 -0.307234 -0.588236 128 167 92
-2.199448 1.580256 6.563405 128 169 38
-0.129329 -3.115675 6.042564 141 177 56
-0.140869 -1.430637 -0.235259 154 183 60
0.284099 -1.875806 -0.179314 189 204 186
-0.039884 -0.847334 -0.721035 132 154 79
-0.962623 1.691956 2.070543 116 160 75
2.881726 -5.498771 0.694339 142 172 112
0.122853 -0.395425 3.187984 105 167 9
1.744420 -3.896131 -0.150046 133 166 97
1.065518 -3.065105 -0.385510 129 160 89
-0.140399 -0.418191 1.638630 142 175 106
0.265121 -1.152089 -1.869960 141 168 103
0.235157 -1.220623 2.736854 111 159 42
0.858821 -3.264788 -0.757934 120 159 89
0.075093 -1.238495 -1.572634 146 174 109
0.259589 -1.789920 -1.330639 139 170 31
1.451262 -5.436083 8.666725 146 181 115
2.448782 -4.872479 0.862203 137 176 104
-1.182451 1.533135 6.017874 142 181 80
0.191170 -0.196011 -1.648685 107 157 88
-1.644391 1.713287 6.076491 138 167 89
1.290946 -3.685770 -0.016803 133 175 97
-0.201126 -0.954781 2.598596 126 170 81
0.386437 -0.954854 -0.556328 124 171 106
-0.196836 -1.502962 0.031325 152 181 58
0.291843 -1.785984 -0.965254 143 171 25
-0.716144 -0.932389 -0.817274 112 156 79
-0.664666 -1.070763 2.026979 151 183 47
1.967867 -5.065701 -0.157157 142 161 110
0.268856 -2.726480 5.446709 124 164 46
-0.822217 -1.531688 2.567580 156 186 67
-0.717081 -0.559921 2.097706 143 174 94
0.176206 -1.308088 -1.901345 145 170 101
-1.551430 2.612252 7.405517 112 161 90
0.430818 -3.727463 7.302310 117 158 58
-2.004970 0.616919 5.600133 139 187 64
-0.610938 -0.975788 0.476505 123 165 98
0.168865 -1.407608 -0.539055 139 163 102
0.490168 -3.140219 4.197912 139 175 39
0.227217 -1.709676 2.384786 131 164 110
-1.961151 2.146065 6.873847 130 171 67
3.305344 -5.951979 0.511793 148 179 114
-0.197031 -2.636576 3.821453 132 166 92
-1.534487 1.082080 1.492333 126 158 106
3.293524 -5.108134 0.585570 124 162 110
0.051525 -0.505965 -1.353399 151 172 84
2.151325 -5.909388 8.756168 139 172 112
0.444990 -5.951524 8.559449 133 174 58
0.168471 -1.247619 0.175342 122 160 113
0.020779 -1.482607 0.835396 125 162 67
-1.174384 1.435565 5.860675 132 174 87
-0.754207 2.067610 2.481835 109 154 88
-0.714017 -0.465857 -0.583798 128 164 80
-0.701662 -1.282947 2.083683 157 187 67
-0.361896 -0.379023 -0.724938 136 166 92
0.475802 -1.345547 0.241333 133 160 121
0.185730 -1.728065 -0.158584 166 188 116
0.379614 -1.687649 1.833003 137 165 97
-0.081008 -1.117309 -1.062308 129 165 65
-0.141343 -1.274563 -0.339197 139 173 38
-0.289266 -0.802238 -0.556289 118 159 80
-0.519825 -0.529446 2.816513 141 188 63
-2.703940 2.761059 7.222637 126 165 75
0.151687 -0.204028 -1.338220 146 159 82
3.162166 -4.881359 0.042308 100 158 108
0.060835 -1.266302 -0.776559 133 162 109
0.251159 -0.415757 -1.467474 109 157 87
-0.105154 -0.893187 -0.837539 127 158 62
0.016587 -0.165404 -1.306248 140 173 91
-0.570419 -0.871127 1.852830 145 180 29
0.577370 -5.902163 8.455162 133 171 71
1.625759 -3.673024 0.392897 142 170 110
2.752051 -5.726497 0.005795 116 160 115
0.610841 -0.128988 3.551216 143 180 38
0.093201 -1.346722 -0.256828 134 162 118
-1.432979 1.616735 6.133891 130 171 85
-2.112205 3.360094 7.791363 115 165 87
-1.459450 2.203282 6.716411 128 177 87
0.113293 -0.875872 -0.325058 102 155 101
0.184693 -1.420673 0.063248 131 157 112
3.404275 -5.412057 0.476774 105 158 111
2.487258 -4.276355 0.005858 133 165 94
-0.004011 -1.920099 0.115985 227 250 219
0.159233 -1.083087 -1.595379 147 178 110
-1.238549 -0.712137 0.467689 129 163 116
0.043437 -0.433446 0.637941 124 167 129
1.062112 -3.326395 -0.396031 130 171 93
0.136779 -1.312904 -2.347924 153 176 118
-0.730533 1.340219 5.236008 148 189 50
-0.510714 -0.910355 -0.556031 122 156 99
-0.373559 -0.366264 -0.737686 137 165 96
-0.071642 -1.005905 2.168295 127 170 104
3.022567 -5.488317 0.402178 123 166 123
-0.457004 0.831297 4.555820 146 187 38
-0.803597 -0.280834 4.025544 138 179 26
-0.999980 1.036094 1.000642 127 160 99
-0.565687 0.148685 4.032642 134 175 34
-0.424591 -2.392900 3.339699 120 154 95
0.169417 -1.649616 -0.608103 176 193 122
2.444832 -5.263476 0.109762 128 169 122
1.844049 -4.280091 0.438629 136 175 105
0.428952 -1.723480 0.188169 153 191 79
-0.101918 -2.528425 4.581172 139 173 29
-0.535055 -0.710944 -0.750402 122 157 88
-0.658631 1.120550 0.990054 120 157 89
0.473123 -0.473579 3.219279 141 179 32
-0.391391 -1.622311 1.691681 152 186 70
0.147992 -1.108829 2.675144 115 162 26
